group_name,person
Ethics and Governance of Artificial Intelligence,Jonathan Zittrain
Ethics and Governance of Artificial Intelligence,Andre Uhl
Community Biotechnology,Sara Sprinkhuizen
Software Agents,Jose H. Espinosa
Software Agents,Junia Anacleto
Software Agents,Moin Ahmad
Software Agents,Pei Yu (Peggy) Chi
Software Agents,Robert Speer
Software Agents,Xiangbin Yang
Software Agents,Ying Li
Software Agents,Yen-Ling Kuo
Software Agents,Ye Hong
Ethics and Governance of Artificial Intelligence,Gretchen Greene
Ethics and Governance of Artificial Intelligence,Joi Ito
Ethics and Governance of Artificial Intelligence,Tenzin Priyadarshi
Community Biotechnology,Julia Schachnik
Community Biotechnology,Mary Tsang
Community Biotechnology,Alexandria Guo
Community Biotechnology,Alyda Huerta
Community Biotechnology,Nina Wang
Community Biotechnology,Udayan Umapathi
Community Biotechnology,Nicole Bakker
Community Biotechnology,David S. Kong
Tangible Media,Carlton Sparrell
Living Labs,Alex 'Sandy' Pentland
Tangible Media,Clark Della Silva
Tangible Media,David Lakatos
Living Labs,Nicole N. Freedman
Next Billion Network,Alex 'Sandy' Pentland
Tangible Media,Yasutsugu Nagatomi
Tangible Media,Oksana Anilionyte
Tangible Media,Penelope Eugenia Webb
Tangible Media,Wen Wang
Tangible Media,Udayan Umapathi
Tangible Media,Luke Vink
Tangible Media,Jannik Peters
Tangible Media,Junghae Seo
Tangible Media,Fang Qing
Tangible Media,Philipp Caesar
Tangible Media,Guanyun Wang
Tangible Media,Denise Campbell
Tangible Media,Shinji Niwa
Tangible Media,Mary Niskala
Tangible Media,Alex Olwal
Tangible Media,Benjamin Waber
Tangible Media,Richard H. Whitney III
Next Billion Network,Mitchel Resnick
Next Billion Network,Andrew Lippman
Tangible Media,Amanda J. Parkes
Tangible Media,Jamie Zigelbaum
Tangible Media,James Patten
Tangible Media,Daniel Leithinger
Tangible Media,Leonardo A. Bonanni
Tangible Media,Felix Heibeck
Tangible Media,Natalia Villegas
Tangible Media,Basheer Tome
Tangible Media,Jean-Baptiste (JB) Labrune
Tangible Media,Valentina Sumini
Tangible Media,Takatoshi Yoshida
Tangible Media,Kyung Yun Choi
Tangible Media,Deema Qashat
Tangible Media,Nikolaos Vlavianos 
Center for Bits and Atoms,Joe Murphy
Sociable Media,Orkan T. Telhan
Tangible Media,Hiroshi Ishii
Tangible Media,Amos Golan
Center for Bits and Atoms,Neil A. Gershenfeld
Center for Bits and Atoms,Joseph M. Jacobson
Sociable Media,Fernanda B. Viegas
Sociable Media,Francis Lam
Sociable Media,Dietmar Offenhuber
Sociable Media,Karrie Karahalios
Sociable Media,Nicole N. Freedman
Tangible Media,Daniel Visan Levine
Tangible Media,Ken Nakagaki
Tangible Media,Jifei Ou
Tangible Media,Lining Yao
Tangible Media,Paula Aguilera
Tangible Media,Xiao Xiao
Tangible Media,Mohammed Aamir
Tangible Media,Anthony DeVincenzi
Tangible Media,Anna Pereira
Tangible Media,Austin S. Lee
Tangible Media,Adam Kumpf
Tangible Media,Cati Vaucelle
Tangible Media,Daniel Tauber
Tangible Media,Hiroshi Chigira
Tangible Media,James E. Gouldstone
Tangible Media,Jinha Lee
Tangible Media,Jin Kyung Lee
Tangible Media,Joo Yeon Sung
Tangible Media,Mahoro Anabuki
Tangible Media,Philipp Schoessler
Tangible Media,Masahiro Watanabe
Tangible Media,Sheng Kai Tang
Tangible Media,Sean Follmer
Tangible Media,Shunichi Kasahara
Tangible Media,Simon Thompson
Things That Think,Hiroshi Ishii
Tangible Media,Vincent Leclerc
Tangible Media,Toshihiro Nakae
Tangible Media,Yusuke Sekikawa
Things That Think,Joseph A. Paradiso
Things That Think,Mirei Rioux
Things That Think,Rosalind W. Picard
Things That Think,Hsiu-Hsien Chiang
Things That Think,Jan Bosch
Things That Think,Jimmy Park
Things That Think,Natalia Villegas
Things That Think,Sachiko Grimes
Things That Think,Lily Fu
Physics and Media,Irene Pepperberg
Physics and Media,Neil A. Gershenfeld
New Media Medicine,Frank Moss
New Media Medicine,Tesha Myers
New Media Medicine,Scott Gilroy
Future of Learning,Seymour A. Papert
New Media Medicine,John Moore
Society of Mind,Marvin L. Minsky
Digital Intuition,Catherine Havasi
Digital Intuition,Hooyoung Chung
Digital Intuition,Kasia Hayden
Digital Intuition,Victor Wang
Digital Intuition,Robert Speer
Design Ecology,David Small
Design Ecology,Agnes  Chang
Design Ecology,Richard The
High-Low Tech,Leah Buechley
High-Low Tech,Diane Willow
High-Low Tech,Hannah Perner-Wilson
High-Low Tech,Samuel Jacoby
eRationality,Dan Ariely
eRationality,Nina Mazar
eRationality,Rebecca Waber
Knowledge Futures,Travis Rich
Knowledge Futures,Joi Ito
Knowledge Futures,William (Danny) Hillis
Knowledge Futures,Andrew Lippman
Biomechatronics,Joel Huegel
Open Agriculture (OpenAg),Caleb Harper
Biomechatronics,Hugh Herr
City Science,Weiting Xiong
Open Agriculture (OpenAg),Hildreth England
Open Agriculture (OpenAg),Alexander Auerbach
Open Agriculture (OpenAg),Babak Babakinejad
Open Agriculture (OpenAg),Rob Baynes
Open Agriculture (OpenAg),Paula Cerqueira
Open Agriculture (OpenAg),Arielle Johnson
Open Agriculture (OpenAg),Sebastian Nowak
Open Agriculture (OpenAg),Daniel Poitrast
Open Agriculture (OpenAg),Tim Savas
Civic Media,Ethan Zuckerman
Biomechatronics,Xingbang Yang
Biomechatronics,Seong Ho Yeon
Biomechatronics,Michael Nawrot
Biomechatronics,Emily Rogers 
Biomechatronics,Tsung-Han Hsieh
Biomechatronics,Lindsey Reynolds
Biomechatronics,Tony Shu
Biomechatronics,Lisa Freed
City Science,Kent Larson
City Science,Chien-Yu Lin
City Science,Ariel Noyman
City Science,Margaret Church
City Science,Abhishek Agarwal
City Science,Mary Heckbert
City Science,Ana Lopez
City Science,Michael Lin
Open Agriculture (OpenAg),David Zack
Civic Media,Lorrie LeJeune
Civic Media,Emily Boardman Ndulue
Civic Media,Emilie Reiser
Civic Media,Daniel Minty
Biomechatronics,Dana Solav
Biomechatronics,Bryan Ranger
Biomechatronics,Cameron Taylor
Biomechatronics,Benjamin Maimon
Biomechatronics,David Hill
Biomechatronics,Kevin Mattheus Moerman
Biomechatronics,Matt Weber
City Science,Yago Lizaribar Carrillo
City Science,Xuesong Zhang
City Science,Yan Zhang
City Science,Jerry Wei Hua Yao
City Science,Carson Smuts
City Science,Arnaud Grignard
City Science,Lucas Cassiano Pereira Silva
City Science,Yasushi Ikeda
City Science,Ting-Kai Chang
Collective Learning,Cesar A. Hidalgo
Civic Media,Rahul Bhargava
Civic Media,Erhardt Graeff
Civic Media,Joy Buolamwini
Civic Media,Alexis Hope
Civic Media,Jia Zhang
Civic Media,J Nathan Matias
Civic Media,Cindy Bishop
Civic Media,Anushka Shah
Civic Media,Natalie Gyenes
Civic Media,Sasha Costanza-Chock
Civic Media,Khalida Brohi
Civic Media,Willow Brugh
Civic Media,Claudia Orellana Rodriguez
Civic Media,Rebekah Larsen
Civic Media,Mika Kanaya
Civic Media,Samuel Barros
Civic Media,Sands Fish
Civic Media,Adeline Gabriela Silva Gil
Biomechatronics,Roman Stolyarov
Biomechatronics,Matthew Carney
Biomechatronics,Tyler Clites
Biomechatronics,Shriya Srinivasan
Biomechatronics,Bruce W. Deffenbaugh
Biomechatronics,Ken A. Pasch
Biomechatronics,Arthur J Petron
Biomechatronics,Ron Riso
Biomechatronics,Matthew Carty
Biomechatronics,Steven Keyes
Biomechatronics,Jiun-Yih Kuan
Biomechatronics,Yasmin Graham
Biomechatronics,Michael Eilenberg
Biomechatronics,Matthew Orton
Biomechatronics,Neelakantan Sunder
Biomechatronics,Anthony Nicholas Zorzos
Biomechatronics,Zixi Liu
City Science,Thomas Sanchez Lengeling
City Science,Yang Liu
City Science,Juanita Devis
City Science,Yasushi Sakai
City Science,Federico Casalegno
Collective Learning,Jessica Rais
Collective Learning,Jingxian Zhang
Collective Learning,Flavio L. Portas Pinheiro
Collective Learning,Cristian Ignacio Jara Figueroa
Civic Media,Poseidon Ho
Civic Media,Nicholas Grossman
Biomechatronics,Jessica Beltran Ullauri 
Biomechatronics,Joseph Cattell
Biomechatronics,Colin  Roddy 
City Science,Honghao Deng
City Science,Phil Tinn
City Science,Takahiro Kawahara
Collective Learning,Bogang Jun
Collective Learning,Diana Orghian
Collective Learning,Kevin Zeng Hu
Collective Learning,Pierre Alexandre Balland
Collective Learning,Aamena Alshamsi
Collective Learning,Andrea Margit
Collective Learning,Teresa Farinha
Collective Learning,Isabella Loaiza-Saa
Collective Learning,Almaha Almalki
Collective Learning,Sanjay Guruprasad
Collective Learning,Pablo Andres Astudillo
Civic Media,Muhammad Hashmi
Civic Media,Matthew Stempeck
Civic Media,Jude Mwenda Ntabathia
Biomechatronics,Emilie Revol
Biomechatronics,Alexander Harding
Biomechatronics,Kipp Bradford
Biomechatronics,Luke Mooney
Biomechatronics,Christophe Everarts
Biomechatronics,David Moinina Sengeh
Biomechatronics,Matt Furtney
Biomechatronics,David Calley
City Science,Luis Alberto Alonso Pastor
City Science,Ronan Doorley
Collective Learning,Tarik Roukny Ornia
Collective Learning,Xiaojiao Chen
Collective Learning,Cristian Esteban Candia Vallejos
Collective Learning,Takahito Ito
Biomechatronics,Oliver A Kannape
Biomechatronics,Reza Safai-Naeeni
Biomechatronics,Jean-Francois Duval
City Science,Chrisoula Kapelonis
City Science,J. Ira Winder
City Science,Hasier Larrea
City Science,Laya Anasu
Human Dynamics,Isabella Loaiza-Saa
Collective Learning,Daniel Smilkov
Collective Learning,Phil Salesses
Collective Learning,Manuel Aristaran
Collective Learning,Alexander Radebach
Collective Learning,Juan Rocha Gordo
Collective Learning,Jian Gao
Collective Learning,Mirela Petkova
Collective Learning,Mary Kaltenberg
Biomechatronics,Max Berniker
Biomechatronics,Madeleine Abromowitz
Biomechatronics,Aaron Jaeger
Biomechatronics,Andrea Chew
Biomechatronics,Aaron M. Dollar
Biomechatronics,Chanikarn Wongviriyawong
Human Dynamics,Abhimanyu Dubey
Human Dynamics,Toshihiro Koda
Human Dynamics,Julius Olufunso Akinyemi
Human Dynamics,Emmanuel Letouze
Human Dynamics,Peter Krafft
Human Dynamics,Jeremy Jones
Human Dynamics,Nadav Aharony
Human Dynamics,Eric Agredo
Human Dynamics,Hancheng Cao
Human Dynamics,Luc Rocher
Collective Learning,Liaoliao Duan
Collective Learning,Dominik Hartmann
Collective Learning,Amy Yu
Collective Learning,Jermain Christopher Kaminski
Collective Learning,Nikita Pestrov
Biomechatronics,Jared Markowitz
Biomechatronics,Diana S. Young
Biomechatronics,Christopher Barnhart
Biomechatronics,Grant Elliott
Biomechatronics,Hartmut Geyer
Biomechatronics,Elliott Rouse
Biomechatronics,Matthew Williams
Biomechatronics,Lee Magnusson
Biomechatronics,Nathan Villagaray-Carski
Molecular Machines,James Weis
Human Dynamics,Remo Frey
Human Dynamics,Florimond Houssiau
Human Dynamics,Yoshihiko Suhara
Human Dynamics,Cyril de Bodt
Human Dynamics,Shen Zhou
Human Dynamics,Tommy Nguyen
Human Dynamics,Guy Zyskind
Collective Learning,Miguel Guevara
Collective Learning,Talia Kaufmann
Collective Learning,Deepak Jagdish
Collective Learning,Alexander James Gaspar Simoes
Collective Learning,Wen Cheng
Living Mobile,Chris Schmandt
Affective Computing,Judy Hanwen Shen
Molecular Machines,Test Plain
Molecular Machines,Joseph M. Jacobson
Molecular Machines,Maksym Korablyov
Molecular Machines,Aditya Khosla
Molecular Machines,Lior Aharoni
Molecular Machines,Kfir Schreiber
Molecular Machines,Lisa Nip
Molecular Machines,Noah Jakimo
Molecular Machines,Pranam Chatterjee
Molecular Machines,Thrasyvoulos Karydis
Molecular Machines,Christopher Emig
Molecular Machines,Jaebum Joo
Human Dynamics,Henrik Sandell
Living Mobile,Andres Calvo
Living Mobile,Anna Fuste
Living Mobile,Cindy Hsin-Liu Kao
Living Mobile,Deborah Ajilo
Affective Computing,Rosalind W. Picard
Affective Computing,Weixuan 'Vincent' Chen
Affective Computing,Szymon Fedor
Affective Computing,Asma Ghandeharioun
Affective Computing,Javier Hernandez
Affective Computing,Daniel Lopez Martinez
Affective Computing,Natasha Jaques
Molecular Machines,Jelena Mandic
Molecular Machines,Kimin Jun
Human Dynamics,Galen Pickard
Mediated Matter,Viirj Kan
Living Mobile,Kristin Hall
Living Mobile,Manisha Mohan
Living Mobile,Dhruv Jain
Living Mobile,Dong Ho Lee
Living Mobile,Hye Soo Yang
Affective Computing,Kristy Johnson
Human Dynamics,Inas Khayal
Human Dynamics,Taemie Kim
Human Dynamics,Julie Hall
Human Dynamics,Alex 'Sandy' Pentland
Human Dynamics,Alejandro Noriega Campero
Human Dynamics,Esteban Moro Egido
Human Dynamics,Chuang Deng
Human Dynamics,Theresa Hagen
Human Dynamics,Keeley Erhardt
Human Dynamics,Juye Lu
Human Dynamics,Abdulrahman Alotaibi
Mediated Matter,Julian Leland
Mediated Matter,Yen-Ju (Tim) Tai
Mediated Matter,Levi Cai
Mediated Matter,Daniel Lizardo
Mediated Matter,Chikara Inamura
Mediated Matter,Steven Keating
Living Mobile,Matthew Chang
Living Mobile,Wu-Hsi Li
Living Mobile,Yael Friedman
Affective Computing,Mary Heanue
Affective Computing,Ehi Nosakhare
Affective Computing,Fengjiao Peng
Affective Computing,Ognjen (Oggi) Rudovic
Affective Computing,Akane Sano
Affective Computing,Sara Taylor
Affective Computing,Oliver Saunders Wilder
Affective Computing,Terumi Umematsu
Affective Computing,Savio Wong
Human Dynamics,Eaman Jahani
Human Dynamics,Abdullah M. Almaatouq
Human Dynamics,Dan Calacci
Human Dynamics,Dhaval Adjodah
Human Dynamics,Oren Lederman
Human Dynamics,Yan Leng
Human Dynamics,Shi Kai Chong
Human Dynamics,Yuan Yuan
Human Dynamics,Kumaresh Krishnan
Human Dynamics,Michiel Bakker
Human Dynamics,Yi Sun
Human Dynamics,Yang Qi
Human Dynamics,Shahar Somin
Human Dynamics,Eduardo Castello Ferrer
Camera Culture,Lindsey Reynolds
Personal Robots,Blakeley H. Payne
Mediated Matter,Sunanda Sharma
Mediated Matter,Neri Oxman
Mediated Matter,Joao Pedro Goncalves Marins Costa
Mediated Matter,Jorge Duro-Royo
Mediated Matter,Christoph Bader
Mediated Matter,Rachel Smith
Mediated Matter,Joshua Van Zak
Affective Computing,Eiji Yoshida
Affective Computing,Victor Moran Rodriguez
Affective Computing,Agata Lapedriza Garcia
Affective Computing,Sebastian Zepf
Affective Computing,Yadid Ayzenberg
Human Dynamics,Shada Alsalamah
Human Dynamics,Haijing Hao
Human Dynamics,William Graylin
Human Dynamics,Brian Sweatt
Human Dynamics,Yehonatan Sella
Camera Culture,Aymar Guespereau
Camera Culture,Pratik Shah
Camera Culture,Ayush Bhandari
Camera Culture,Achuta Kadambi
Camera Culture,Ramesh Raskar
Camera Culture,Guy Satat
Camera Culture,Otkrist Gupta
Camera Culture,Maggie Cohen
Camera Culture,Tristan Swedish
Camera Culture,Aman Rana
Camera Culture,Perikumar Javia
Camera Culture,Gaurav Bhatia
Camera Culture,Keith Angelino
Camera Culture,Barmak Heshmat Dehkordi
Camera Culture,Nikhil Naik
Camera Culture,Gregory Yauney
Camera Culture,Beth Zonis
Camera Culture,Anshuman Das
Camera Culture,Mrinal Mohit
Personal Robots,Louis Gomez
Personal Robots,Polly R. Guggenheim
Personal Robots,Cynthia Breazeal
Personal Robots,Hae Won Park
Personal Robots,Jacqueline M Kory Westlund
Personal Robots,Samuel Spaulding
Personal Robots,Sooyeon Jeong
Personal Robots,Stefania Druga
Mediated Matter,Michael Stern
Mediated Matter,James Weaver
Responsive Environments,Gustavo Correa
Affective Computing,Karthik Dinakar
Affective Computing,Luis Donatiu Vinas
Affective Computing,Yoshihiko Suhara
Human Dynamics,Bjoern Eskofier
Human Dynamics,Gabriel Teninbaum
Human Dynamics,Jose Balsa Barreiro
Human Dynamics,Khaled Al-Ghoneim
Human Dynamics,Takeo Nishikata
Human Dynamics,Yang Qiao
Human Dynamics,Alfredo Morales-Guzman
Human Dynamics,Dazza J. Greenwood
Human Dynamics,Erez Shmueli
Human Dynamics,Yves-Alexandre de Montjoye
Personal Robots,Randi Williams
Personal Robots,Pedro Reynolds-Cuellar
Mediated Matter,Natalia Casas
Mediated Matter,Andrea Ling
Mediated Matter,Barrak Darweesh
Mediated Matter,Nicolas Hogan
Mediated Matter,Jean Disset
Mediated Matter,Alexander Goldman
Mediated Matter,Benjamin Peters
Mediated Matter,David Pigram
Mediated Matter,Elizabeth Tsai
Mediated Matter,Federico Mazzolini
Mediated Matter,Jeff I. Lieberman
Mediated Matter,Michal Firstenberg
Mediated Matter,Yoav Sterman
Mediated Matter,Sarah B. Ryan
Mediated Matter,Zjenja Doubrovski
Responsive Environments,Irmandy Wicaksono
Affective Computing,Sharon Tam
Human Dynamics,Cameron Kerry
Human Dynamics,Francisco Prieto Castrillo
Human Dynamics,Yaniv Altshuler
Human Dynamics,Todd Reid
Human Dynamics,Hossein Rahnama
Human Dynamics,John Clippinger
Human Dynamics,Joost Bonsen
Personal Robots,Ishaan Grover
Personal Robots,Safinah Arshad Ali
Personal Robots,Huili Chen
Personal Robots,Nikhita Singh
Synthetic Neurobiology,John Sherwood
Opera of the Future,Tod Machover
Responsive Environments,Shigeru Iino
Responsive Environments,Joseph A. Paradiso
Responsive Environments,Caroline Jaffe
Responsive Environments,Artem Dementyev
Responsive Environments,Ariel Ekblaw
Affective Computing,Kyunghee Kim
Affective Computing,Thomas Osgood
Human Dynamics,Yaneer Bar-Yam
Human Dynamics,Vivek K. Singh
Human Dynamics,Xiaowen Dong
Personal Robots,Anastasia Ostrowski
Personal Robots,Jordi Albo-Canals
Personal Robots,Jin Joo Lee
Personal Robots,Nick DePalma
Personal Robots,Roberto Pieraccini
Synthetic Neurobiology,Fahim Farzadfard
Opera of the Future,Priscilla Capistrano
Opera of the Future,Sizi Chen
Opera of the Future,Benjamin Bloomberg
Opera of the Future,Rebecca Kleinberger
Opera of the Future,Charles Holbrow
Opera of the Future,Nicole L'Huillier
Opera of the Future,Alexandra Rieger
Responsive Environments,David Ramsay
Responsive Environments,Amna Cavalic-Carreiro
Responsive Environments,Gershon Dublon
Responsive Environments,Brian Mayton
Responsive Environments,Halsey Burgund
Responsive Environments,Don Derek Haddad
Responsive Environments,Juliana Cherston
Affective Computing,Rashmi Karki
Affective Computing,Hyungil Ahn
Affective Computing,Raul Fernandez
Affective Computing,Winslow S. Burleson
Affective Computing,Ashish Kapoor
Affective Computing,Carson J. Reynolds
Affective Computing,Grace Leslie
Affective Computing,Miriam Mish Madsen
Affective Computing,Allison Rojas
Affective Computing,Sheng-Ying (Aithne) Pao
Affective Computing,Jocelyn C. Riseberg
Human Dynamics,Christopher Wren
Personal Robots,Tinsley Galyean
Personal Robots,Adina Roth
Personal Robots,Mirko Gelsomini
Synthetic Neurobiology,Emma Towlson
Opera of the Future,David Su
Opera of the Future,Hane Lee
Opera of the Future,Nikhil Singh
Opera of the Future,Akito Oshiro van Troyer
Opera of the Future,Thomas Sanchez Lengeling
Opera of the Future,Elena Jessop
Opera of the Future,Ariane Martins
Opera of the Future,Joseph Chung
Opera of the Future,Christopher Full
Opera of the Future,Peter A. Torpey
Opera of the Future,Sarah Platte
Responsive Environments,Glorianna Davenport
Responsive Environments,Nan Zhao
Responsive Environments,Nan-wei Gong
Responsive Environments,Katia Vega
Responsive Environments,Mark Feldmeier
Responsive Environments,Spencer Russell
Responsive Environments,Susanne Seitinger
Responsive Environments,Robert Richer
Affective Computing,Hoda Eydgahi
Affective Computing,Yuta Kuboyama
Affective Computing,Barry Kort
Personal Robots,Goren Gordon
Personal Robots,Guy Hoffman
Personal Robots,Michal Gordon
Personal Robots,Palash Nandy
Personal Robots,Philipp Robbel
Personal Robots,Luke Plummer
Personal Robots,Young Dae Ko
Personal Robots,Sigurdur Orn Adalgeirsson
Personal Robots,Meng Xi
Personal Robots,Adam M. Whiton
Synthetic Neurobiology,Alexi Choueiri
Opera of the Future,Simone Ovsey
Opera of the Future,Tristan Jehan
Opera of the Future,Eyal Shahar
Opera of the Future,Hugo Solis Garcia
Opera of the Future,Diana Robinson
Opera of the Future,Alex McDowell
Opera of the Future,Alexander Goldman
Opera of the Future,Bryn Bliska
Opera of the Future,Craig Lewiston
Opera of the Future,David M. Sachs
Responsive Environments,Sara Remsen
Responsive Environments,Akiko Fujise
Responsive Environments,Asaph Azaria
Responsive Environments,Vasant Ramasubramanian
Responsive Environments,Yoav Reches
Responsive Environments,Evan Lynch
Responsive Environments,Matthew Aldrich
Responsive Environments,Clement Duhart
Responsive Environments,Eunyoung Lim
Responsive Environments,Pragun Goyal
Responsive Environments,Qiansheng Li
Responsive Environments,Michael Lapinski
Responsive Environments,Peiyong Xia
Responsive Environments,Paul Strohmeier
Responsive Environments,Abdulganiyu Ajilore
Affective Computing,Robert A. Reilly
Affective Computing,Chia-Hsun (Jackie) Lee
Affective Computing,M. Ehsan Hoque
Affective Computing,Seth T. Raphael
Affective Computing,Micah Eckhardt
Affective Computing,Matthew S. Goodwin
Affective Computing,Alea C. Teeters
Affective Computing,Robert R. Morris
Affective Computing,Rana El Kaliouby
Affective Computing,Craig Ferguson
Affective Computing,Pablo Egana Del Sol
Affective Computing,Ming-Zher Poh
Affective Computing,Hyungil Ahn
Affective Computing,Austin Jones
Affective Computing,Daniel Bender
Affective Computing,Michel Valstar
Affective Computing,M. Alex O. Vasilescu
Affective Computing,Rui Zhang
Affective Computing,Nikolaos L. Mavridis
Affective Computing,Seoungjae Yoo
Affective Computing,Youngsun Yoon
Personal Robots,Adam Setapen
Personal Robots,Andrea L. Thomaz
Personal Robots,Jason B. Alonso
Personal Robots,Jesse Gray
Personal Robots,Junichi Funada
Personal Robots,Kenton Williams
Personal Robots,Kristopher Bernardo Dos Santos
Personal Robots,Matthew Berlin
Personal Robots,Natalie Freed
Synthetic Neurobiology,Mark Halko
Synthetic Neurobiology,Jeannie Stamberger
Synthetic Neurobiology,Jian-Ping Zhao
Synthetic Neurobiology,Cipriano Romero
Synthetic Neurobiology,Eghbal Hosseini
Synthetic Neurobiology,Brian D. Allen
Synthetic Neurobiology,Ophir Gaathon
Synthetic Neurobiology,Cynthia Smith
Synthetic Neurobiology,Pranam Chatterjee
Opera of the Future,Debbie Gifford
Opera of the Future,Jihyon Kim
Opera of the Future,Kristin Gallas
Opera of the Future,Marc Downie
Opera of the Future,Mary Farbood
Opera of the Future,Nicholas Knouf
Opera of the Future,Noah Feehan
Opera of the Future,Rachel T. Elkin
Opera of the Future,Roberto M. Aimi
Opera of the Future,Sarah B. Ryan
Opera of the Future,Steven L. Pliam
Responsive Environments,Yang Wang
Responsive Environments,Alexander Reben
Responsive Environments,Bo Morgan
Responsive Environments,Clemens Satzger
Responsive Environments,Eric Berkson
Responsive Environments,Eun Dong Shin
Responsive Environments,Gerardo Barroeta Perez
Responsive Environments,Juergen Steimle
Responsive Environments,LaeYoung Kim
Responsive Environments,Nicholas Gillian
Synthetic Neurobiology,Monique Kauke
Synthetic Neurobiology,Shannon Johnson
Synthetic Neurobiology,Zeguan Wang
Synthetic Neurobiology,Edward Boyden
Synthetic Neurobiology,Kosuke Katano
Synthetic Neurobiology,Holly Birns
Synthetic Neurobiology,Tay Won Shin
Synthetic Neurobiology,Adam Marblestone
Synthetic Neurobiology,Aimei Yang
Synthetic Neurobiology,Alexander Wissner-Gross
Synthetic Neurobiology,Amauche Emenari
Synthetic Neurobiology,Andrew Payne
Synthetic Neurobiology,Annabelle Singer
Responsive Environments,Phil London
Responsive Environments,Ryan P. Aylward
Responsive Environments,Sara Pfenninger
Responsive Environments,Yoshihiro Kawahara
Synthetic Neurobiology,Anubhav Sinha
Synthetic Neurobiology,Asmamaw Wassie
Synthetic Neurobiology,Brian D. Allen
Synthetic Neurobiology,Caroline Moore-Kochlacs
Synthetic Neurobiology,Changyang Linghu
Synthetic Neurobiology,Charlotte Gopinath
Synthetic Neurobiology,Christian Wentz
Synthetic Neurobiology,Colton Hicks
Synthetic Neurobiology,Daniel Goodwin
Synthetic Neurobiology,Daniel Estandian
Synthetic Neurobiology,Daniel Oran
Synthetic Neurobiology,Darren Orbach
Synthetic Neurobiology,David Rolnick
Synthetic Neurobiology,Deblina Sarkar
Synthetic Neurobiology,Demian Park
Synthetic Neurobiology,Desiree Dudley
Synthetic Neurobiology,Doug Weston
Synthetic Neurobiology,Emmanouil Karagiannis
Synthetic Neurobiology,Erica Jung
Synthetic Neurobiology,Fei Chen
Synthetic Neurobiology,Giovanni Talei Franzesi
Synthetic Neurobiology,Grace Huynh
Synthetic Neurobiology,Guangyu Xu
Synthetic Neurobiology,Harbaljit S Sohal
Synthetic Neurobiology,Ho-Jun Suk
Synthetic Neurobiology,Ingrid van Welie
Synthetic Neurobiology,Ishan Gupta
Synthetic Neurobiology,Jacob Bernstein
Synthetic Neurobiology,Jay Yu
Synthetic Neurobiology,Jeong Seuk Kang
Synthetic Neurobiology,Joel Dapello
Synthetic Neurobiology,Jorg Scholvin
Synthetic Neurobiology,Justin Kinney
Synthetic Neurobiology,Katarzyna Adamala
Synthetic Neurobiology,Kettner Griswold Jr.
Synthetic Neurobiology,Kiryl Piatkevich
Synthetic Neurobiology,Limor Freifeld
Synthetic Neurobiology,Linyi Gao
Synthetic Neurobiology,Lisa S. Lieberson
Synthetic Neurobiology,Michael Henninger
Synthetic Neurobiology,Michael A. Skuhersky
Synthetic Neurobiology,Newton Howard
Synthetic Neurobiology,Nicholas Barry
Synthetic Neurobiology,Nickolaos Savidis
Synthetic Neurobiology,Nikita Pak
