group_name,person
Physical Language Workshop,Ishwinder Kaur
Physical Language Workshop,Megan L Galbraith
Physical Language Workshop,Amna Cavalic-Carreiro
Social Health Living Laboratory,Alex 'Sandy' Pentland
Social Health Living Laboratory,Frank Moss
Social Health Living Laboratory,Nicole N. Freedman
Interactive Cinema,Glorianna Davenport
Operations and Strategy,Marwan Cheguenni
Operations and Strategy,Barak Berkowitz
Operations and Strategy,Liz Rietz
Computing Culture,Nicole N. Freedman
Computing Culture,Annina Rust
Computing Culture,Benjamin C. Hill
Computing Culture,Chris Csikszentmihályi
Computing Culture,Edmund (Ming-Yip) Kwong
Computing Culture,Gemma L. Shusterman
Digital Nations,Walter Bender
SIMPLICITY,Walter Bender
Digital Nations,Alex 'Sandy' Pentland
Digital Nations,Barry L. Vercoe
Digital Nations,Deb Roy
Digital Nations,Mitchel Resnick
Digital Nations,Seymour A. Papert
Digital Nations,Joseph M. Jacobson
Digital Nations,Glorianna Davenport
Digital Nations,Neil A. Gershenfeld
SIMPLICITY,Alex 'Sandy' Pentland
SIMPLICITY,Amna Cavalic-Carreiro
SIMPLICITY,Cynthia Breazeal
SIMPLICITY,Deb Roy
SIMPLICITY,Glorianna Davenport
SIMPLICITY,Henry Holtzman
"Music, Mind and Machine",Barry L. Vercoe
SIMPLICITY,Hiroshi Ishii
SIMPLICITY,Seymour A. Papert
SIMPLICITY,Rosalind W. Picard
SIMPLICITY,Marvin L. Minsky
SIMPLICITY,Mitchel Resnick
SIMPLICITY,Tod Machover
SIMPLICITY,Pattie Maes
SIMPLICITY,Chris Csikszentmihályi
SIMPLICITY,Joseph A. Paradiso
"Music, Mind and Machine",Cheng Huang
"Music, Mind and Machine",Eben Goodale
"Music, Mind and Machine",Frank  Joe J. Pompei
"Music, Mind and Machine",John Harrison
"Music, Mind and Machine",Owen C. Meyers
"Music, Mind and Machine",Paris Smaragdis
"Music, Mind and Machine",Victor G. Adan
"Music, Mind and Machine",Wei Chai
"Music, Mind and Machine",Youngmoo E. Kim
Nanomedia,Joseph M. Jacobson
Affiliates,Takahiro Kawahara
Affiliates,Sebastian Zepf
Affiliates,Kaori Kikuchi
Affiliates,Andrew bunnie Huang
Affiliates,Jun Pan
Affiliates,James Kondo
Affiliates,Takahito Ito
Affiliates,Thomas Osgood
Affiliates,Akiko Fujise
Affiliates,Anthony Russello
Affiliates,Arata Miyamoto
Affiliates,David Robert
Affiliates,Dong Ho Lee
Affiliates,"Fanghong ""Frank"" Yan"
Affiliates,Hisayuki Ohmata
Affiliates,Hotaek Hong
Affiliates,Jin Kyung Lee
Autism & Communication Technology Initiative,Matthew S. Goodwin
Affiliates,Joo Yeon Sung
Affiliates,Juergen Steimle
Affiliates,Jun Deguchi
Affiliates,Junghae Seo
Affiliates,Junghoon Yoon
Affiliates,Konosuke Watanabe
Autism & Communication Technology Initiative,Rosalind W. Picard
Affiliates,LaeYoung Kim
Affiliates,Maojie Sun
Affiliates,Marc B. Keller
Affiliates,Michael J. Hawley
Affiliates,Michiyo Kubota
Affiliates,Patrick E. Monahan
Affiliates,Paulo Bliksetin
Affiliates,Peiyong Xia
Affiliates,Shinji Niwa
Affiliates,Simon Thompson
Affiliates,Tze Kheng Goh
Affiliates,Xiangbin Yang
Center for Mobile Learning,Andrew McKinney
Affiliates,Yasutsugu Nagatomi
Affiliates,Young Dae Ko
Affiliates,Yuki Minoda
Affiliates,Yukiko Oshio
Affiliates,Yusuke Sekikawa
Affiliates,Zhe Cao
Center for Mobile Learning,Eric Klopfer
Center for Mobile Learning,Hal Abelson
Center for Mobile Learning,Jason Matthew Haas
Center for Mobile Learning,Linas Valiukas
Center for Mobile Learning,Mitchel Resnick
Center for Mobile Learning,David Wolber
Center for Mobile Learning,Jose Dominguez
Center for Mobile Learning,Michael Paul Medlock-Walton
Connection Science,Mary Kaltenberg
Connection Science,Nikita Pestrov
Connection Science,Alexander Radebach
Connection Science,Wen Cheng
Connection Science,Manuel Aristaran
Connection Science,Mirela Petkova
Connection Science,Jermain Christopher Kaminski
Connection Science,Shella Saintcyr
Connection Science,Lydia Smith
Connection Science,Dominik Hartmann
Connection Science,Talia Kaufmann
Connection Science,Miguel Guevara
Connection Science,Daniel Smilkov
Connection Science,Amy Yu
Connection Science,Deepak Jagdish
Center for Bits and Atoms,Amira Abdel-Rahman
Chairman's Office,Nicholas Negroponte
Connection Science,Alexander James Gaspar Simoes
Connection Science,Phil Salesses
Connection Science,Alex 'Sandy' Pentland
Center for Bits and Atoms,Sara Falcone
Chairman's Office,David M. Robertson
Center for Bits and Atoms,Jun Ni
Center for Bits and Atoms,Theresa Hagen
Center for Bits and Atoms,Filippos Tourlomousis
Center for Bits and Atoms,Jake Read
Center for Bits and Atoms,James Prue
Center for Bits and Atoms,Neil A. Gershenfeld
Smart Cities,Carlo Ratti
Center for Bits and Atoms,Joseph M. Jacobson
Center for Bits and Atoms,Sherry J. Lassiter
Gray Matters,Walter Bender
Smart Cities,Edward Fredkin
Center for Bits and Atoms,Andreas Mershin
Center for Bits and Atoms,Joe Murphy
Center for Bits and Atoms,Jamie Severson
Center for Bits and Atoms,Ryan Walsh
Center for Bits and Atoms,Tom Lutz
Object-Based Media,Nina Lutz
Development,Kelly Gavin
Smart Cities,Edward A. Hirsch
Smart Cities,Eric F. Weber
Smart Cities,Philip A. Liang
Center for Bits and Atoms,Nadya Peek
Center for Bits and Atoms,Rui Qing
Center for Bits and Atoms,Samuel Calisch
Center for Bits and Atoms,Grace Copplestone
Center for Bits and Atoms,benjamin jenett
Object-Based Media,Aubrey Simonson
Development,Peter Cohen
Development,Signe Swenson
Center for Bits and Atoms,Amanda Ghassaei
Center for Bits and Atoms,William Langford
Center for Bits and Atoms,Prashant Patil
Object-Based Media,Shoichiro Sekiguchi
Object-Based Media,Chong Lee
Object-Based Media,Alex Westner
Object-Based Media,Emily Salvador
Object-Based Media,Vik Parthiban
Object-Based Media,Kaori Kikuchi
Object-Based Media,Michael Hegg
Object-Based Media,Jun Pan
Object-Based Media,V. Michael Bove
Object-Based Media,Ali Shtarbanov
Object-Based Media,Andrew MacInnes
Object-Based Media,Bianca Datta
Object-Based Media,Daniel Novy
Center for Bits and Atoms,Eric VanWyk
Center for Bits and Atoms,Qiuyi Han
